"Year","State","District","Democrat","Republican","Other","Total","Winner","Dperc","Rperc","Operc"
2018,"Alabama","1","89226","153228",163,"242617","R",0.367764831,0.6315633282,0.0006718408026
2018,"Alabama","2","86931","138879",420,"226230","R",0.384259382,0.6138841003,0.001856517703
2018,"Alabama","3","83996","147770",149,"231915","R",0.362184421,0.6371731022,0.0006424767695
2018,"Alabama","4","46492","184255",222,"230969","R",0.2012910824,0.7977477497,0.0009611679489
2018,"Alabama","5","101388","159063",222,"260673","R",0.3889470716,0.6102012867,0.000851641712
2018,"Alabama","6","85644","192542",142,"278328","R",0.3077088902,0.6917809204,0.0005101894168
2018,"Alabama","7","185010","0",4153,"189163","D",0.9780453894,0,0.02195461057
2018,"Alaska","1","131199","149779",1188,"282166","R",0.4649709745,0.5308187379,0.004210287561
2018,"Arizona","1","143240","122784",65,"266089","D",0.5383161273,0.4614395935,0.0002442791698
2018,"Arizona","2","161000","133083",69,"294152","D",0.5473360711,0.4524293563,0.0002345726019
2018,"Arizona","3","114650","64868",0,"179518","D",0.6386546196,0.3613453804,0
2018,"Arizona","4","84521","188842",3672,"277035","R",0.3050914144,0.6816539426,0.01325464292
2018,"Arizona","5","127027","186037",0,"313064","R",0.405754095,0.594245905,0
2018,"Arizona","6","140559","173140",0,"313699","R",0.4480696464,0.5519303536,0
2018,"Arizona","7","113044","301",18706,"132051","D",0.8560631877,0.002279422344,0.1416573899
2018,"Arizona","8","135569","168835",13,"304417","R",0.4453397806,0.5546175148,4.270457957e-05
2018,"Arizona","9","159583","101662",0,"261245","D",0.6108557102,0.3891442898,0
2018,"Arkansas","1","57907","138757",4581,"201245","R",0.2877437949,0.6894929067,0.02276329847
2018,"Arkansas","2","116135","132125",5193,"253453","R",0.4582111871,0.5212998071,0.02048900585
2018,"Arkansas","3","74952","148717",6039,"229708","R",0.3262925105,0.647417591,0.02628989848
2018,"Arkansas","4","63984","136740",4168,"204892","R",0.3122815923,0.6673759834,0.0203424243
2018,"California","1","131548","160046",0,"291594","R",0.4511341111,0.5488658889,0
2018,"California","2","243081","72576",0,"315657","D",0.7700795484,0.2299204516,0
2018,"California","3","134875","97376",0,"232251","D",0.5807294694,0.4192705306,0
2018,"California","4","156253","184401",0,"340654","R",0.4586853523,0.5413146477,0
2018,"California","5","205860","0",55158,"261018","D",0.7886812404,0,0.2113187596
2018,"California","6","201939","0",0,"201939","D",1,0,0
2018,"California","7","155016","126601",0,"281617","D",0.5504497243,0.4495502757,0
2018,"California","8","0","170785",0,"170785","R",0,1,0
2018,"California","9","113414","87349",0,"200763","D",0.5649148498,0.4350851502,0
2018,"California","10","115945","105955",0,"221900","D",0.5225101397,0.4774898603,0
2018,"California","11","204369","71312",0,"275681","D",0.7413242117,0.2586757883,0
2018,"California","12","275292","41780",0,"317072","D",0.8682318212,0.1317681788,0
2018,"California","13","260580","0",34257,"294837","D",0.8838103766,0,0.1161896234
2018,"California","14","211384","55439",0,"266823","D",0.7922255578,0.2077744422,0
2018,"California","15","177989","65940",0,"243929","D",0.7296754383,0.2703245617,0
2018,"California","16","82266","60693",0,"142959","D",0.5754517029,0.4245482971,0
2018,"California","17","159105","52057",0,"211162","D",0.7534736364,0.2465263636,0
2018,"California","18","225142","77096",0,"302238","D",0.744916258,0.255083742,0
2018,"California","19","162496","57823",0,"220319","D",0.7375487362,0.2624512638,0
2018,"California","20","183677","0",42044,"225721","D",0.8137346547,0,0.1862653453
2018,"California","21","57239","56377",0,"113616","D",0.5037934798,0.4962065202,0
2018,"California","22","105136","117243",0,"222379","R",0.4727784548,0.5272215452,0
2018,"California","23","74661","131113",0,"205774","R",0.3628300952,0.6371699048,0
2018,"California","24","166550","117881",0,"284431","D",0.5855550204,0.4144449796,0
2018,"California","25","133209","111813",0,"245022","D",0.5436613855,0.4563386145,0
2018,"California","26","158216","97210",0,"255426","D",0.619420106,0.380579894,0
2018,"California","27","202636","0",0,"202636","D",1,0,0
2018,"California","28","196662","54272",0,"250934","D",0.783720022,0.216279978,0
2018,"California","29","124697","29995",0,"154692","D",0.8060985701,0.1939014299,0
2018,"California","30","191573","69420",0,"260993","D",0.7340158548,0.2659841452,0
2018,"California","31","110143","77352",0,"187495","D",0.5874449985,0.4125550015,0
2018,"California","32","121759","55272",0,"177031","D",0.6877834955,0.3122165045,0
2018,"California","33","219091","93769",0,"312860","D",0.7002844723,0.2997155277,0
